#{"t_start": 1761889711.5764668, "env_id": "SafetyPointGoal1-v0"}
r,l,t,cost
540.433658,1000,1244.167729,0.0
520.596755,1000,1247.902359,0.0
401.458765,1000,1250.605508,0.0
419.850233,1000,1254.330677,0.0
270.576164,1000,1257.051283,0.0
474.347717,1000,1260.729305,0.0
386.955332,1000,1263.518715,0.0
494.543908,1000,1267.183591,0.0
523.154274,1000,1269.918418,0.0
404.494117,1000,1272.500503,0.0
452.45847,1000,1276.203005,0.0
428.303621,1000,1278.77496,0.0
314.949409,1000,1282.54868,0.0
543.586249,1000,1285.055628,0.0
402.020346,1000,1288.832702,0.0
354.864369,1000,1291.338219,0.0
593.283112,1000,1295.005093,0.0
257.754968,1000,1297.555272,0.0
445.389184,1000,1301.231784,0.0
481.883693,1000,1303.846277,0.0
250.189737,1000,1307.554371,1.0
425.640522,1000,1310.114495,0.0
375.895242,1000,1313.797339,1.0
389.445672,1000,1316.378432,0.0
494.594311,1000,1320.128128,0.0
370.532406,1000,1322.662775,0.0
573.378569,1000,1326.391937,0.0
455.560618,1000,1329.065155,0.0
341.06256,1000,1333.787235,0.0
350.825938,1000,1336.745414,0.0
269.645508,1000,1341.018669,1.0
308.846963,1000,1343.610617,0.0
506.851546,1000,1347.552089,0.0
471.171865,1000,1506.647285,0.0
595.82788,1000,1513.303798,0.0
474.410326,1000,1517.881758,0.0
483.147673,1000,1523.262847,0.0
540.020934,1000,1526.975346,0.0
233.766017,1000,1531.907558,0.0
260.682329,1000,1535.577618,0.0
419.59661,1000,1540.223637,0.0
387.45632,1000,1543.594332,0.0
509.23269,1000,1548.908811,0.0
434.250139,1000,1551.768897,0.0
607.747159,1000,1556.146926,0.0
509.56154,1000,1559.074476,1.0
429.005422,1000,1562.999939,0.0
576.220276,1000,1566.106773,0.0
261.859582,1000,1570.537843,1.0
471.11209,1000,1573.527322,0.0
413.027148,1000,1577.537243,0.0
356.654361,1000,1580.537761,0.0
319.640026,1000,1583.350158,0.0
492.846873,1000,1587.582986,0.0
323.44164,1000,1590.535038,0.0
396.510838,1000,1594.685372,1.0
474.083561,1000,1597.569071,0.0
382.820917,1000,1601.522894,0.0
501.100639,1000,1604.366659,0.0
486.652781,1000,1608.32338,0.0
368.309051,1000,1611.053527,0.0
403.4132,1000,1614.850785,0.0
278.780728,1000,1617.7721,0.0
383.886151,1000,1621.649821,1.0
508.849114,1000,1624.264978,0.0
466.118931,1000,1628.147636,0.0
498.148912,1000,1630.680737,0.0
412.418685,1000,1634.414237,0.0
525.825089,1000,1636.994864,0.0
613.048766,1000,1640.839951,0.0
355.773687,1000,1643.379216,0.0
456.896453,1000,1647.078482,0.0
462.291484,1000,1649.609011,0.0
273.22086,1000,1653.31538,0.0
392.34365,1000,1655.829263,0.0
329.0222,1000,1660.181684,0.0
386.122166,1000,1662.968241,0.0
391.807993,1000,1666.77941,0.0
483.400751,1000,1669.581721,1.0
186.103274,1000,1673.900534,0.0
355.859161,1000,1676.889085,0.0
561.959834,1000,1680.780614,0.0
425.166043,1000,1683.607774,0.0
345.737603,1000,1687.537537,0.0
476.993415,1000,1690.26721,0.0
306.518398,1000,1694.180857,1.0
556.392875,1000,1696.822204,0.0
564.666079,1000,1700.717741,0.0
228.410752,1000,1703.358967,0.0
408.204492,1000,1707.54449,0.0
521.516876,1000,1710.431693,0.0
304.721779,1000,1714.407499,0.0
396.3493,1000,1717.139813,0.0
483.503999,1000,1721.156579,0.0
59.93223,1000,1723.98443,0.0
542.02428,1000,1726.840075,0.0
365.623827,1000,1731.034493,0.0
451.89507,1000,1733.719518,0.0
486.994267,1000,1737.419319,0.0
301.287552,1000,1740.087746,0.0
521.88096,1000,1743.774779,0.0
539.077895,1000,1746.371473,0.0
40.481748,1000,1750.068162,0.0
499.397641,1000,1752.619615,0.0
632.795407,1000,1756.371464,0.0
515.857482,1000,1758.868952,0.0
379.503379,1000,1762.747937,0.0
475.152784,1000,1765.907835,0.0
280.601779,1000,1770.504767,0.0
524.705921,1000,1773.752433,0.0
310.370672,1000,1777.810692,0.0
456.56784,1000,1780.455755,0.0
405.760406,1000,1784.322554,0.0
433.234805,1000,1786.970031,0.0
404.457346,1000,1790.767685,0.0
374.231222,1000,1793.404785,1.0
374.499176,1000,1797.265629,0.0
559.548763,1000,1799.824651,0.0
213.533944,1000,1803.708757,0.0
366.729206,1000,1806.359476,0.0
517.62071,1000,1810.234385,0.0
670.868108,1000,1812.836782,0.0
321.744779,1000,1816.671253,0.0
554.494987,1000,1819.282565,0.0
444.614512,1000,1823.161464,0.0
586.134847,1000,1825.693757,0.0
